Timestep;Time span;Sum [var]
823;13:43:00;76,25319314469135
824;13:44:00;76,22231672109122
825;13:45:00;75,98855381362485
826;13:46:00;75,97919183990854
827;13:47:00;75,9408640098442
828;13:48:00;75,93361419675774
829;13:49:00;75,86330940143824
830;13:50:00;75,7110725072076
831;13:51:00;75,65001583811035
832;13:52:00;75,63287843341178
833;13:53:00;75,60175550335416
834;13:54:00;75,54744193624566
835;13:55:00;75,31702731343725
836;13:56:00;75,20511300986776
837;13:57:00;75,17332837195825
838;13:58:00;75,13032589596554
839;13:59:00;75,10970711882388
840;14:00:00;75,10453607053657
841;14:01:00;74,86663353520954
842;14:02:00;74,7358723356432
843;14:03:00;74,63121754717042
844;14:04:00;74,55506914723988
845;14:05:00;74,34332658981452
846;14:06:00;74,30064668533767
847;14:07:00;74,13162264474782
848;14:08:00;74,06478065301421
849;14:09:00;73,86139836607903
850;14:10:00;73,84418131533859
851;14:11:00;73,81700939461874
852;14:12:00;73,68766065988576
853;14:13:00;73,54495806422634
854;14:14:00;73,54210919516098
855;14:15:00;73,21588219958467
856;14:16:00;72,96201134881166
857;14:17:00;72,56325356467583
858;14:18:00;72,53742930185221
859;14:19:00;72,32955343748401
860;14:20:00;72,28849875861835
861;14:21:00;72,15156269012917
862;14:22:00;72,09814438938719
863;14:23:00;72,08150032944022
864;14:24:00;72,01143874556459
865;14:25:00;71,95096185920542
866;14:26:00;71,83732478482062
867;14:27:00;71,82930847278354
868;14:28:00;71,77581625922623
869;14:29:00;71,751614889594
